Filename,Composition,Ionic_Conductivity
LiLaTi2O6_mp-767402_symmetrized.cif,LiLaTi2O6,1.00E-03
Li10Ge(PS6)2_mp-696138_symmetrized.cif,Li10Ge(PS6)2,1.40E-02
Li2Ge7O15_mp-5832_symmetrized.cif,Li2Ge7O15,5.00E-06
Li2HN_mp-699284_symmetrized.cif,Li2HN,2.50E-04
Li2S_mp-1153_symmetrized.cif,Li2S,1.00E-13
Li7VGeO8_mp-769539_symmetrized.cif,Li7VGeO8,7.00E-05
Li3Fe2(PO4)3_mp-758654_symmetrized.cif,Li3Fe2(PO4)3,1.00E-07
Li3N_mp-2251_symmetrized.cif,Li3N,5.75E-07
Li3P_mp-736_symmetrized.cif,Li3P,1.00E-03
Li3PS4_mp-985583_symmetrized.cif,Li3PS4,3.00E-07
Li3Sc2(PO4)3_mp-6565_symmetrized.cif,Li3Sc2,1.00E-10
Li3VO4_mp-19219_symmetrized.cif,Li3VO4,4.40E-08
Li4B7ClO12.cif,Li4B7O12Cl,1.00E-07
Li4BH10N3.cif,Li4BN3H10,2.00E-04
Li4SiO4.cif,Li4SiO4,2.40E-10
Li5La3Nb2O12.cif,Li5La3Nb2O12,8.00E-06
Li5La3Ta2O12.cif,Li5La3Nb2O12,1.50E-06
Li6Br3N.cif,Li6NBr3,1.50E-07
Li6FeCl8.cif,Li6FeCl8,1.00E-04
Li7La3Zr2O12.cif,Li7La3Zr2O12,3.50E-04
Li7P3S11.cif,Li7P3S11,4.10E-03
LiAlH4.cif,LiAlH4,2.00E-09
LiAlSiO4.cif,LiAlSiO4,1.40E-05
LiBH4.cif,LiBH4,2.00E-08
LiH2N.cif,LiNH2,4.00E-10
LiI.cif,LiI,1.00E-06
LiZr2(PO4)3.cif,LiZr2P3O12,5.00E-08
LiTi2(PO4)3.cif,LiTi2(PO4)3,3.60E-08
Li2TiFe(PO4)3.cif,Li2TiFe(PO4)3,3.34E-07
Li2ZrFe(PO4)3.cif,Li2ZrFe(PO4)3,1.14E-08
LiGe2(PO4)3.cif,Li1Ge2(PO4)3,8.00E-08
Li3Cr2(PO4)3.cif,Li3Cr2(PO4)3,2.50E-08
